name,distance,latitude,longitude,address,telephone,rating,review_counts,closed
Jaclyn's,172.37513361109032,43.66627,-79.31802,"['1588 Queen Street E', 'Toronto, ON M4L 1G1', 'Canada']",+1 647-901-8809,4.5,16,False
Lake Inez,794.6619550133811,43.67234,-79.32064,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']",,4.5,95,False
Tulia Osteria,365.1153942401661,43.66487,-79.32425,"['1402 Queen Street E', 'Toronto, ON M4L 1C9', 'Canada']",+1 416-461-6400,4.5,2,False
Casa Di Giorgios,408.71572448842034,43.6668499,-79.31518,"['1646 Queen St E', 'Toronto, ON M4L 1G3', 'Canada']",+1 416-686-7066,4.0,75,False
Betty’s East,689.7787205765445,43.663455,-79.327992,"['1301 Queen Street E', 'Toronto, ON M4L 1C2', 'Canada']",+1 416-901-5575,3.5,6,False
Beach Club,839.3120734378176,43.6632065,-79.3100133,"['1681 Lake Shore Boulevard E', 'Toronto, ON M4L 3W6', 'Canada']",+1 416-694-8844,3.0,19,False
Jules Bistro,724.0458166129055,43.66389,-79.32859,"['1290 Queen St E', 'Toronto, ON M4L 1C4', 'Canada']",+1 416-463-5853,3.5,31,False
Puerto Bravo,777.9806691992109,43.67203,-79.32231,"['1425 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada']",+1 416-551-3700,4.5,4,False
The Burger's Priest,374.2380726403347,43.666699590075,-79.3155846030585,"['1636 Queen Street E', 'Toronto, ON M4L 1G3', 'Canada']",+1 647-346-0617,3.5,508,False
The Sidekick,436.0032948767222,43.6645889,-79.3251114,"['1374 Queen Street E', 'Toronto, ON M4L 1C9', 'Canada']",+1 416-546-1301,4.5,31,False
Black Pony,805.5180733412958,43.67241,-79.3204,"['1481 Gerrard Street E', 'Toronto, ON M4L 2A3', 'Canada']",+1 416-466-7669,4.5,8,False
Le Conciliabule,903.6090778135728,43.671365,-79.3272249,"['1300 Gerrard Street E', 'Toronto, ON M4L 1Y7', 'Canada']",+1 437-981-1800,4.5,14,False
Maru Japanese Bistro,364.44850504314206,43.664719960216985,-79.32426282771173,"['1402 Queen Street E', 'Toronto, ON M4L 1C7', 'Canada']",+1 416-466-4666,4.0,20,False
